Index,Company,Indicator,Category,IndicatorNr,IndicatorFam,isSubindicator,IndicatorSuffix,Score,Score_Adjusted,labelLong,description
2019,Alibaba,G01,G,1,G01,FALSE,NA,NA,NA,Policy commitment,Coming soon
2019,Alibaba,G02,G,2,G02,FALSE,NA,NA,NA,Governance and management oversight,Coming soon
2019,Alibaba,G03,G,3,G03,FALSE,NA,NA,NA,Internal implementation,Coming soon
2019,Alibaba,G04,G,4,G04,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,G04a,G,4,G04,TRUE,a,NA,NA,Impact assessment: Governments and regulations,Coming soon
2019,Alibaba,G04b,G,4,G04,TRUE,b,NA,NA,Impact assessment: Processes for policy enforcement,Coming soon
2019,Alibaba,G04c,G,4,G04,TRUE,c,NA,NA,Impact assessment: Targeted advertising,Coming soon
2019,Alibaba,G04d,G,4,G04,TRUE,d,NA,NA,Impact assessment: Algorithmic systems,Coming soon
2019,Alibaba,G04e,G,4,G04,TRUE,e,NA,NA,Impact assessment: Zero-rating,Coming soon
2019,Alibaba,G05,G,5,G05,FALSE,NA,NA,NA,Stakeholder engagement and accountability,Coming soon
2019,Alibaba,G06,G,6,G06,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,G06a,G,6,G06,TRUE,a,NA,NA,Remedy,Coming soon
2019,Alibaba,G06b,G,6,G06,TRUE,b,NA,NA,Process for content moderation appeals,Coming soon
2019,Alibaba,F01,F,1,F01,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,F01a,F,1,F01,TRUE,a,NA,NA,Access to terms of service,Coming soon
2019,Alibaba,F01b,F,1,F01,TRUE,b,NA,NA,Access to advertising content policies,Coming soon
2019,Alibaba,F01c,F,1,F01,TRUE,c,NA,NA,Access to advertising targeting policies,Coming soon
2019,Alibaba,F01d,F,1,F01,TRUE,d,NA,NA,Access to algorithmic system use policies,Coming soon
2019,Alibaba,F02,F,2,F02,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,F02a,F,2,F02,TRUE,a,NA,NA,Changes to terms of service,Coming soon
2019,Alibaba,F02b,F,2,F02,TRUE,b,NA,NA,Changes to advertising content policies,Coming soon
2019,Alibaba,F02c,F,2,F02,TRUE,c,NA,NA,Changes to advertising targeting policies,Coming soon
2019,Alibaba,F02d,F,2,F02,TRUE,d,NA,NA,Changes to algorithmic system use policies,Coming soon
2019,Alibaba,F03,F,3,F03,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,F03a,F,3,F03,TRUE,a,NA,NA,Process for terms of service enforcement,Coming soon
2019,Alibaba,F03b,F,3,F03,TRUE,b,NA,NA,Advertising content rules and enforcement,Coming soon
2019,Alibaba,F03c,F,3,F03,TRUE,c,NA,NA,Advertising targeting rules and enforcement,Coming soon
2019,Alibaba,F04,F,4,F04,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,F04a,F,4,F04,TRUE,a,NA,NA,Data about content restrictions to enforce terms of service,Coming soon
2019,Alibaba,F04b,F,4,F04,TRUE,b,NA,NA,Data about account restrictions to enforce terms of service,Coming soon
2019,Alibaba,F04c,F,4,F04,TRUE,c,NA,NA,Data about advertising content and ad targeting policy enforcement,Coming soon
2019,Alibaba,F05,F,5,F05,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,F05a,F,5,F05,TRUE,a,NA,NA,Process for responding to government demands to restrict content or accounts,Coming soon
2019,Alibaba,F05b,F,5,F05,TRUE,b,NA,NA,Process for responding to private requests for content or account restriction,Coming soon
2019,Alibaba,F06,F,6,F06,FALSE,NA,NA,NA,Data about government demands to restrict content and accounts,Coming soon
2019,Alibaba,F07,F,7,F07,FALSE,NA,NA,NA,Data about private requests for content or account restriction,Coming soon
2019,Alibaba,F08,F,8,F08,FALSE,NA,NA,NA,User notification about content and account restriction,Coming soon
2019,Alibaba,F09,F,9,F09,FALSE,NA,NA,NA,Network management (telecommunications companies),Coming soon
2019,Alibaba,F10,F,10,F10,FALSE,NA,NA,NA,Network shutdown (telecommunications companies),Coming soon
2019,Alibaba,F11,F,11,F11,FALSE,NA,NA,NA,Identity policy,Coming soon
2019,Alibaba,F12,F,12,F12,FALSE,NA,NA,NA,"Algorithmic content curation, recommendation, and/or ranking systems",Coming soon
2019,Alibaba,F13,F,13,F13,FALSE,NA,NA,NA,Automated software agents (“bots”),Coming soon
2019,Alibaba,P01,P,1,P01,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,P01a,P,1,P01,TRUE,a,NA,NA,Access to privacy policies,Coming soon
2019,Alibaba,P01b,P,1,P01,TRUE,b,NA,NA,Access to algorithmic system development policies,Coming soon
2019,Alibaba,P02,P,2,P02,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,P02a,P,2,P02,TRUE,a,NA,NA,Changes to privacy policies,Coming soon
2019,Alibaba,P02b,P,2,P02,TRUE,b,NA,NA,Changes to algorithmic system development policies,Coming soon
2019,Alibaba,P03,P,3,P03,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,P03a,P,3,P03,TRUE,a,NA,NA,Collection of user information,Coming soon
2019,Alibaba,P03b,P,3,P03,TRUE,b,NA,NA,Inference of user information,Coming soon
2019,Alibaba,P04,P,4,P04,FALSE,NA,NA,NA,Sharing of user information,Coming soon
2019,Alibaba,P05,P,5,P05,FALSE,NA,NA,NA,"Purpose for collecting, inferring, and sharing user information",Coming soon
2019,Alibaba,P06,P,6,P06,FALSE,NA,NA,NA,Retention of user informations,Coming soon
2019,Alibaba,P07,P,7,P07,FALSE,NA,NA,NA,Users’ control over their own user information,Coming soon
2019,Alibaba,P08,P,8,P08,FALSE,NA,NA,NA,Users’ access to their own user information,Coming soon
2019,Alibaba,P09,P,9,P09,FALSE,NA,NA,NA,Collection of user information from third parties,Coming soon
2019,Alibaba,P10,P,10,P10,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,P10a,P,10,P10,TRUE,a,NA,NA,Process for responding to government demands for user information,Coming soon
2019,Alibaba,P10b,P,10,P10,TRUE,b,NA,NA,Process for responding to private requests for user information,Coming soon
2019,Alibaba,P11,P,11,P11,FALSE,NA,NA,NA,NA,NA
2019,Alibaba,P11a,P,11,P11,TRUE,a,NA,NA,Data about government requests for user information,Coming soon
2019,Alibaba,P11b,P,11,P11,TRUE,b,NA,NA,Data about private requests for user information,Coming soon
2019,Alibaba,P12,P,12,P12,FALSE,NA,NA,NA,User notification about third-party requests for user information,Coming soon
2019,Alibaba,P13,P,13,P13,FALSE,NA,NA,NA,Security oversight,Coming soon
2019,Alibaba,P14,P,14,P14,FALSE,NA,NA,NA,Addressing security vulnerabilities,Coming soon
2019,Alibaba,P15,P,15,P15,FALSE,NA,NA,NA,Data breaches,Coming soon
2019,Alibaba,P16,P,16,P16,FALSE,NA,NA,NA,Encryption of user communication and private content (digital platforms),Coming soon
2019,Alibaba,P17,P,17,P17,FALSE,NA,NA,NA,Account Security (digital platforms),Coming soon
2019,Alibaba,P18,P,18,P18,FALSE,NA,NA,NA,Inform and educate users about potential risks,Coming soon
2019,Amazon,G01,G,1,G01,FALSE,NA,NA,NA,Policy commitment,Coming soon
2019,Amazon,G02,G,2,G02,FALSE,NA,NA,NA,Governance and management oversight,Coming soon
2019,Amazon,G03,G,3,G03,FALSE,NA,NA,NA,Internal implementation,Coming soon
2019,Amazon,G04,G,4,G04,FALSE,NA,NA,NA,NA,NA
2019,Amazon,G04a,G,4,G04,TRUE,a,NA,NA,Impact assessment: Governments and regulations,Coming soon
2019,Amazon,G04b,G,4,G04,TRUE,b,NA,NA,Impact assessment: Processes for policy enforcement,Coming soon
2019,Amazon,G04c,G,4,G04,TRUE,c,NA,NA,Impact assessment: Targeted advertising,Coming soon
2019,Amazon,G04d,G,4,G04,TRUE,d,NA,NA,Impact assessment: Algorithmic systems,Coming soon
2019,Amazon,G04e,G,4,G04,TRUE,e,NA,NA,Impact assessment: Zero-rating,Coming soon
2019,Amazon,G05,G,5,G05,FALSE,NA,NA,NA,Stakeholder engagement and accountability,Coming soon
2019,Amazon,G06,G,6,G06,FALSE,NA,NA,NA,NA,NA
2019,Amazon,G06a,G,6,G06,TRUE,a,NA,NA,Remedy,Coming soon
2019,Amazon,G06b,G,6,G06,TRUE,b,NA,NA,Process for content moderation appeals,Coming soon
2019,Amazon,F01,F,1,F01,FALSE,NA,NA,NA,NA,NA
2019,Amazon,F01a,F,1,F01,TRUE,a,NA,NA,Access to terms of service,Coming soon
2019,Amazon,F01b,F,1,F01,TRUE,b,NA,NA,Access to advertising content policies,Coming soon
2019,Amazon,F01c,F,1,F01,TRUE,c,NA,NA,Access to advertising targeting policies,Coming soon
2019,Amazon,F01d,F,1,F01,TRUE,d,NA,NA,Access to algorithmic system use policies,Coming soon
2019,Amazon,F02,F,2,F02,FALSE,NA,NA,NA,NA,NA
2019,Amazon,F02a,F,2,F02,TRUE,a,NA,NA,Changes to terms of service,Coming soon
2019,Amazon,F02b,F,2,F02,TRUE,b,NA,NA,Changes to advertising content policies,Coming soon
2019,Amazon,F02c,F,2,F02,TRUE,c,NA,NA,Changes to advertising targeting policies,Coming soon
2019,Amazon,F02d,F,2,F02,TRUE,d,NA,NA,Changes to algorithmic system use policies,Coming soon
2019,Amazon,F03,F,3,F03,FALSE,NA,NA,NA,NA,NA
2019,Amazon,F03a,F,3,F03,TRUE,a,NA,NA,Process for terms of service enforcement,Coming soon
2019,Amazon,F03b,F,3,F03,TRUE,b,NA,NA,Advertising content rules and enforcement,Coming soon
2019,Amazon,F03c,F,3,F03,TRUE,c,NA,NA,Advertising targeting rules and enforcement,Coming soon
2019,Amazon,F04,F,4,F04,FALSE,NA,NA,NA,NA,NA
2019,Amazon,F04a,F,4,F04,TRUE,a,NA,NA,Data about content restrictions to enforce terms of service,Coming soon
2019,Amazon,F04b,F,4,F04,TRUE,b,NA,NA,Data about account restrictions to enforce terms of service,Coming soon
2019,Amazon,F04c,F,4,F04,TRUE,c,NA,NA,Data about advertising content and ad targeting policy enforcement,Coming soon
2019,Amazon,F05,F,5,F05,FALSE,NA,NA,NA,NA,NA
2019,Amazon,F05a,F,5,F05,TRUE,a,NA,NA,Process for responding to government demands to restrict content or accounts,Coming soon
2019,Amazon,F05b,F,5,F05,TRUE,b,NA,NA,Process for responding to private requests for content or account restriction,Coming soon
2019,Amazon,F06,F,6,F06,FALSE,NA,NA,NA,Data about government demands to restrict content and accounts,Coming soon
2019,Amazon,F07,F,7,F07,FALSE,NA,NA,NA,Data about private requests for content or account restriction,Coming soon
2019,Amazon,F08,F,8,F08,FALSE,NA,NA,NA,User notification about content and account restriction,Coming soon
